rua,freq
"RUA ALCIDES CARNEIRO LEAL, EM FRENTE AO N. 71",2
"AVENIDA BOA VIAGEM, LADO OPOSTO AO N. 3232",11
"AVENIDA BOA VIAGEM, AO LADO AO N. 3232",0
"RUA PEREIRA DA COSTA, EM FRENTE AO N. 81 SENTIDO OESTE",1
"RUA ANTONIO FALCAO, CRUZAMENTO COM A AVENIDA BOA VIAGEM",0
"RUA AMAZONAS, LADO OPOSTO AO N. 20 SENTIDO UNICO",0
"AVENIDA CONSELHEIRO AGUIAR, AO LADO AO N. 3005",1
"RUA ATLANTICO, LADO OPOSTO AO N. 102 SENTIDO UNICO",0
"RUA DESEMBARGADOR GOIS CAVALCANTE, SOB O SEMAFORON. 226",0
"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, SOB O SEMAFORO N. 200",4
"RUA DA AURORA, SOB O SEMAFORO N. 162",33
"RUA PEREIRA DA COSTA, EM FRENTE AO N. 292",1
"RUA PEREIRA DA COSTA, EM FRENTE AO N. 293",0
"RUA PEREIRA DA COSTA, AO LADO AO N. 292",0
"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, SOB O SEMAFORO N. 142",4
"RUA DESEMBARGADOR GOIS CAVALCANTE, SOB 226",0
"RUA TOME GIBSON, SOB O SEMAFORO N. 200",5
"RUA ESTUDANTE JEREMIAS BASTOS, LADO OPOSTO AO N. 562",0
"AVENIDA CONSELHEIRO AGUIAR, EM FRENTE AO N. 322 SENTIDO UNICO",0
"RUA CAPITAO REBELINHO, EM FRENTE AO N. 482 SENTIDO SUL",1
"AVENIDA HERCULANO BANDEIRA, EM FRENTE AO N. 366",0
"RUA PEREIRA DA COSTA, AO LADO AO N. 551",0
"RUA PEREIRA DA COSTA, AO LADO AO N. 520 SENTIDO OESTE",0
"AVENIDA HERCULANO BANDEIRA, SOB AO N. 137",0
"RUA TOME GIBSON, SOB AO SEMAFORO N. 002",1
"RUA CAPITAO REBELINHO, EM FRENTE AO N. 592",0
"RUA CAPITAO REBELINHO, EM FRENTE AO N. 534 SENTIDO SUL",0
"AVENIDA HERCULANO BANDEIRA, LADO OPOSTO A MANIA BYKE",0
"AVENIDA CONSELHEIRO AGUIAR, SOB AO SEMAFORO N. 138",1
"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, LADO OPOSTOAO N. 22",1
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 049, Sentido:OLINDA Faixa: 1",412
RUA ARQUITETO LUIZ NUNES ENTRE O N.315 E 379,3808
"RUA VISCONDE DE JEQUITINHONHA, SEMAFORO 154, Sentido:SUBURBIO Faixa: 2",668
"RUA FALCAO DE LACERDA, SEMAFORO 285, Sentido:SUBURBIO Faixa: 2",572
"RUA PROF. ARNALDO CARNEIRO LEAO, SEMAFORO 544, Sentido:SUBURBIO",1419
"RUA REAL DA TORRE, SEMAFORO 237, Sentido:AFOGADOSFaixa: 2",3113
"AV. RECIFE, SEMAFORO 617, Sentido:CEASA Faixa: 2",867
"AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 328, Sentido:BR 232 Faixa: 1",248
"AV. DR. JOSE RUFINO, SEMAFORO 082, Sentido:SUBURBIO Faixa: 3",451
"AV. RECIFE, SEMAFORO 336, Sentido:BOA VIAGEM Faixa: 2",803
"AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 271, Sentido:ROD. BR 232 Faixa: 1",911
"AV. BEBERIBE, SEMAFORO 131, Sentido:SUBURBIO Faixa: 2",558
"AV. DOM JOAO VI, ENTRE OS N. 777 E 835",761
"RUA REAL DA TORRE, SEMAFORO 237, Sentido:AFOGADOSFaixa: 3",2123
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069, Sentido:BOA VIAGEM Faixa: 2",27
"AV. ENG. DOMINGOS FERREIRA, SEMAFORO 338, Faixa: 4",176
"RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158, Sentido:SUBURBIO Faixa: 2",247
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 173., Sentido:OLINDA Faixa: 2",66
"AV. ENG. DOMINGOS FERREIRA, SEMAFORO 297, Faixa: 2",474
"AV. CAXANGÁ - DEFRONTE AO Nº 3907, SENTIDO CENTRO",942
"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 049, Sentido:OLINDA Faixa: 3",128
"AV. CAXANGA, SEMAFORO 609, Sentido:SUBURBIO Faixa: 2",359
"AV. ENG. DOMINGOS FERREIRA, SEMAFORO 338, Faixa: 3",316
"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 081,Sentido:CENTRO Faixa: 2",259
